Question,AverageDistance
1,490.4390144007843
2,565.321872713797
3,464.1692143888724
4,624.2374013727043
5,646.1505186429098
6,426.2552860906696
7,553.6312262728092
8,395.6471450113274
9,472.05483542110966
10,502.13920644050637
11,471.85019783871826
12,335.9258900452079
13,164.14594800111135
14,417.3607339800438
15,211.70179312647332
16,464.33663802944966
17,230.56514122610702
18,100.7603160558159
19,153.60158806489812
20,74.95416495181264
