Distance,Time,AnswerType,ID,Question
151.29312414844316,1.377336221E9,2,811a74ad-03db-45e3-8b2a-b35436abc04c,8
210.9972765940196,1.377336221E9,2,811a74ad-03db-45e3-8b2a-b35436abc04c,7
210.9972765940196,1.377336221E9,2,811a74ad-03db-45e3-8b2a-b35436abc04c,2
302.7674340583953,1.377336221E9,2,811a74ad-03db-45e3-8b2a-b35436abc04c,3
358.01556060812806,1.377336221E9,2,811a74ad-03db-45e3-8b2a-b35436abc04c,17
768.296611659695,1.377337457E9,2,811a74ad-03db-45e3-8b2a-b35436abc04c,5
329.5909938502918,1.377339907E9,2,811a74ad-03db-45e3-8b2a-b35436abc04c,10
319.60865264260565,1.377340986E9,2,811a74ad-03db-45e3-8b2a-b35436abc04c,15
515.133584774511,1.377341165E9,2,811a74ad-03db-45e3-8b2a-b35436abc04c,14
814.3167618326441,1.377341165E9,2,811a74ad-03db-45e3-8b2a-b35436abc04c,11
263.58616469256924,1.377336342E9,2,198ffa6e-9f01-42d1-a905-16492ef1f0be,8
283.57966031613324,1.377336342655E9,2,198ffa6e-9f01-42d1-a905-16492ef1f0be,8
295.63304765619307,1.377336362745E9,2,198ffa6e-9f01-42d1-a905-16492ef1f0be,3
775.0973292537008,1.377337415E9,2,198ffa6e-9f01-42d1-a905-16492ef1f0be,5
166.5672560762323,1.377339532E9,2,198ffa6e-9f01-42d1-a905-16492ef1f0be,6
319.83740478344055,1.377341039E9,2,198ffa6e-9f01-42d1-a905-16492ef1f0be,15
518.1040387723264,1.37734122E9,2,198ffa6e-9f01-42d1-a905-16492ef1f0be,14
840.1968161091739,1.377341231E9,2,198ffa6e-9f01-42d1-a905-16492ef1f0be,11
279.0613743466328,1.377332723E9,2,6ea8539c-ed7e-4249-8391-5cea801a884a,23
918.4455139197474,1.377338778E9,2,6ea8539c-ed7e-4249-8391-5cea801a884a,21
868.25228597582,1.377338871E9,2,6ea8539c-ed7e-4249-8391-5cea801a884a,19
199.31911244050738,1.377339564E9,2,6ea8539c-ed7e-4249-8391-5cea801a884a,16
