Distance,AnswerType
132.7658074740243,2
484.0624399675306,2
484.0624399675306,2
479.0333527046779,2
479.0333527046779,2
479.0333527046779,2
479.0333527046779,2
479.0333527046779,2
479.0333527046779,2
490.10304484267084,2
490.10304484267084,2
496.30592883852756,2
496.30592883852756,2
491.12287052268607,2
491.12287052268607,2
500.6137495699353,2
500.6137495699353,2
514.5182324770747,2
514.5182324770747,2
529.0619752887784,2
529.0619752887784,2
551.753540759731,2
551.753540759731,2
556.8461121349238,2
556.8461121349238,2
571.176124290159,2
571.176124290159,2
573.5303646776362,2
573.5303646776362,2
575.632311131661,2
575.632311131661,2
583.2695832752136,2
583.2695832752136,2
602.6506304791468,2
602.6506304791468,2
608.7816943617386,2
608.7816943617386,2
648.5219484325908,2
648.5219484325908,2
648.381614729084,2
648.381614729084,2
651.2092392915512,2
651.2092392915512,2
650.8240995607816,2
650.8240995607816,2
646.7133854290391,2
646.7133854290391,2
641.2506047614313,2
649.6603933789074,2
652.5830962345051,2
644.1883185431675,2
640.0196684464298,2
630.8460700827919,2
622.6467012078538,2
613.5857861531109,2
605.1173134905063,2
594.4574556391843,2
585.1240238641203,2
576.8464820693291,2
568.3563897031281,2
558.2091197710723,2
557.4645157959525,2
550.0639509891352,2
548.2245857183702,2
551.3866455290407,2
551.9936670235529,2
549.7926242993626,2
550.160134824239,2
548.0284753946804,2
547.2186028375986,2
549.9133377793286,2
552.3834731897774,2
556.5565429669214,2
536.2505155504463,2
538.5105911498448,2
546.4053900155785,2
552.722372434252,2
561.7104710208318,2
576.1603145721722,2
587.6153341367791,2
597.5624326926913,2
604.8300155640184,2
600.9856477133418,2
584.983803827992,2
569.2094951205067,2
557.6617246919428,2
547.2902098114519,2
540.098789952034,2
536.2186931011282,2
532.5562109317186,2
533.3862884474529,2
533.999068046601,2
528.1884369964954,2
522.9252247282714,2
521.2468346538111,2
517.1670728158554,2
511.0861530435676,2
509.6883959631451,2
507.30430404426687,2
504.5684215006197,2
501.99871894329203,2
500.6564089391417,2
498.9298520892706,2
497.608378339547,2
494.89012320361917,2
495.54279028500247,2
496.4354306219863,2
495.87180199308455,2
494.01018626247037,2
491.47776830658495,2
488.7404844588093,2
485.0858046897757,2
482.1678666652456,2
480.3851794742946,2
477.166209716975,2
475.2413132613864,2
472.61168722361424,2
469.66446881809867,2
469.6203647878546,2
470.3405695848513,2
471.703362221509,2
472.66403656154466,2
471.49501021506416,2
473.2953845160836,2
474.8753324154543,2
472.86718282252355,2
471.6345591587342,2
474.3449472610936,2
472.98352165555747,2
474.3336810459192,2
477.1581215121002,2
477.38062905906526,2
476.8979314893584,2
478.45167724168675,2
481.29599002943354,2
482.092300914116,2
483.42539933575864,2
484.71805684129765,2
484.46972726061483,2
477.47833429860395,2
471.8909887993658,2
470.38476799844983,2
465.5542756426382,2
463.8889779331714,2
461.9085447077633,2
456.58928084256127,2
453.55383197446764,2
448.2119536361339,2
444.560130641091,2
442.02245772246334,2
435.0666043632956,2
426.71044300992486,2
421.8126066619593,2
416.47240740500825,2
413.2512632693204,2
408.693238221505,2
399.8579109212834,2
392.0109358080957,2
388.18678061289336,2
379.5825027242585,2
375.67026941866715,2
374.9291853531794,2
376.42162627717903,2
