Question,TotalDistance
1,131417.38595447812
2,48308.58685041373
3,36387.70961496211
4,50730.417327595955
5,51404.18187368039
6,29859.151250475148
7,41322.934171193156
8,29435.87801603505
9,35246.0563879213
10,35436.81389955339
11,31885.36484776589
12,20766.56221048856
13,9979.539297602356
14,23295.54153332333
15,11508.262895542153
16,25457.396545418374
17,10480.07286179065
18,3806.6848265443477
19,5179.749769886645
20,2842.761374219373
