Question,Answer,Latitude,Longitude,Altitude,Accuracy,Altitude Accuracy,Heading,Speed,Timestamp,TeamId,DeviceType,DeviceI,x,y,Answer,AnswerInt,Distance
8,A,52.2194861295,6.8959346507,100,25,null,333,1.2510000467,1377336221000,AAH16,android,811a74ad-03db-45e3-8b2a-b35436abc04c,258094.744787953,471228.271865418,CC,1,132.76426599097084
7,C,52.2194861295,6.8959346507,100,25,null,333,1.2510000467,1377336221000,AAH16,android,811a74ad-03db-45e3-8b2a-b35436abc04c,258094.744787953,471228.271865418,CC,1,151.29312414844316
2,C,52.2194861295,6.8959346507,100,25,null,333,1.2510000467,1377336221000,AAH16,android,811a74ad-03db-45e3-8b2a-b35436abc04c,258094.744787953,471228.271865418,CD,2,210.9972765940196
3,A,52.2194861295,6.8959346507,100,25,null,333,1.2510000467,1377336221000,AAH16,android,811a74ad-03db-45e3-8b2a-b35436abc04c,258094.744787953,471228.271865418,CD,2,210.9972765940196
17,A,52.2194861295,6.8959346507,100,25,null,333,1.2510000467,1377336221000,AAH16,android,811a74ad-03db-45e3-8b2a-b35436abc04c,258094.744787953,471228.271865418,CD,2,302.7674340583953
4,Martin Meijers,52.2194861295,6.8959346507,100,25,null,333,1.2510000467,1377336221000,AAH16,android,811a74ad-03db-45e3-8b2a-b35436abc04c,258094.744787953,471228.271865418,CD,2,358.01556060812806
5,oranje,52.2165559838,6.9025909714,99.5999755859,15,null,193,1.9390499592,1377337457000,AAH16,android,811a74ad-03db-45e3-8b2a-b35436abc04c,258556.35183582,470911.79364324,CC,1,22.700411977689605
22,C,52.2164058639,6.8946881779,97.9000244141,10,null,283,0.8756999969,1377337927000,AAH16,android,811a74ad-03db-45e3-8b2a-b35436abc04c,258016.703788477,470883.836886964,CD,2,228.5209528734985
12,B,52.2200565599,6.8942817394,95.700012207,10,null,359,0.9382500052,1377338406000,AAH16,android,811a74ad-03db-45e3-8b2a-b35436abc04c,257980.490213112,471289.380509639,CC,1,11.936073436003971
13,dienst uitvoering onderwijs,52.218437721,6.8895181362,91.9000244141,5,null,179,0.4378499985,1377338875000,AAH16,android,811a74ad-03db-45e3-8b2a-b35436abc04c,257658.751427879,471102.538258745,CC,1,12.381755006091893
24,1.00,52.2198357806,6.8962089065,93.9000244141,10,null,106,0.18765001,1377339291000,AAH16,android,811a74ad-03db-45e3-8b2a-b35436abc04c,258112.673818713,471267.558695545,IC,3,12.928456268087338
6,blauw,52.2193624126,6.8966027722,101.299987793,15,null,166,0.5004000068,1377339570000,AAH16,android,811a74ad-03db-45e3-8b2a-b35436abc04c,258140.680845677,471215.459139569,CC,1,18.79003620514294
10,C,52.2183884354,6.8983039632,100,10,null,244,0.8131499887,1377339907000,AAH16,android,811a74ad-03db-45e3-8b2a-b35436abc04c,258259.173553714,471109.53047245,CC,1,45.51399262888627
20,C,52.2212670324,6.899217926,98.700012207,15,null,72,2.9398498535,1377340379000,AAH16,android,811a74ad-03db-45e3-8b2a-b35436abc04c,258314.943589486,471431.061116786,CD,2,200066.79574450807
